Data id,Data type,Mean delta time,Oldest id,Oldest created time,Oldest removed time,Oldest delta time,Youngest id,Youngest created time,Youngest removed time,Youngest delta time
1,Q,2751.07,15839,t05324,t10001,4677,3,t00007,t00020,13
2,Q,2547.92,16808,t05568,t10002,4434,226,t00234,t00258,24
3,Q,2396.77,18705,t06021,t10000,3979,209,t00220,t00221,1
4,Q,2198.71,20812,t06552,t10002,3450,5,t00007,t00008,1
5,Q,2054.64,20990,t06596,t10001,3405,9,t00010,t00011,1
3,S,2310.87,11,t00014,t12269,12255,11645,t04254,t04255,1
2,S,2343.92,202,t00213,t11471,11258,18245,t05914,t05915,1
1,S,2576.13,59,t00070,t11098,11028,11649,t04255,t04256,1
