Data id,Data type,Mean delta time,Oldest id,Oldest created time,Oldest removed time,Oldest delta time,Youngest id,Youngest created time,Youngest removed time,Youngest delta time
8,S,2014.49,22,t00022,t12040,12018,16228,t05258,t05259,1
6,S,2433.22,46,t00051,t11640,11589,24548,t07438,t07439,1
5,S,2555.46,65,t00066,t11484,11418,24551,t07439,t07440,1
7,S,2197.27,780,t00615,t11805,11190,24527,t07432,t07433,1
4,S,2461.36,14,t00015,t11191,11176,24538,t07436,t07437,1
1,S,2871.44,4,t00002,t10980,10978,24464,t07415,t07416,1
2,S,2578.29,103,t00101,t10900,10799,24550,t07439,t07440,1
3,S,2482.19,466,t00410,t11044,10634,13066,t04475,t04476,1
