Data id,Data type,Mean delta time,Oldest id,Oldest created time,Oldest removed time,Oldest delta time,Youngest id,Youngest created time,Youngest removed time,Youngest delta time
2,S,2362.90,116,t00153,t11424,11271,26285,t08111,t08112,1
1,S,2502.88,85,t00109,t11006,10897,1580,t01147,t01148,1
1,Q,2586.08,16647,t05553,t10001,4448,10,t00015,t00028,13
2,Q,2549.60,16849,t05605,t10000,4395,55,t00069,t00070,1
3,Q,2389.75,18481,t06016,t10002,3986,29,t00040,t00049,9
5,Q,2158.80,20426,t06508,t10001,3493,161,t00195,t00196,1
4,Q,2216.57,20563,t06542,t09987,3445,393,t00389,t00390,1
3,S,2045.68,342,t00349,t12105,11756,4531,t02315,t02316,1
14
