id,data_id,errors_count,insert_count,delete_count,max_size,actual_size
4,Q,3,3927,2262,1919,1665
5,Q,0,4008,1993,2015,2015
1,Q,4,3590,2743,1288,847
2,Q,1,3768,2490,1619,1278
3,Q,3,3795,2431,1632,1364
1,S,1,3668,2617,1456,1051
2,S,1,3780,2426,1555,1354
3,S,18,3957,1993,1965,1964

