N; Data type; Epoch; Timing
10000000; INT16; 0; 0,767440
10000000; INT16; 1; 0,768748
10000000; INT16; 2; 0,766450
10000000; INT16; 3; 0,755554
10000000; INT16; 4; 0,767185
10000000; INT16; 5; 0,760469
10000000; INT16; 6; 0,765078
10000000; INT16; 7; 0,769827
10000000; INT16; 8; 0,760412
10000000; INT16; 9; 0,772317
10000000; INT32; 0; 1,165407
10000000; INT32; 1; 1,165068
10000000; INT32; 2; 1,243122
10000000; INT32; 3; 1,161179
10000000; INT32; 4; 1,167018
10000000; INT32; 5; 1,175103
10000000; INT32; 6; 1,192492
10000000; INT32; 7; 1,181612
10000000; INT32; 8; 1,158676
10000000; INT32; 9; 1,165779
10000000; INT64; 0; 1,166899
10000000; INT64; 1; 1,170183
10000000; INT64; 2; 1,173037
10000000; INT64; 3; 1,167632
10000000; INT64; 4; 1,166669
10000000; INT64; 5; 1,164023
10000000; INT64; 6; 1,165287
10000000; INT64; 7; 1,172650
10000000; INT64; 8; 1,187703
10000000; INT64; 9; 1,213802
100000000; INT8; 0; 3,632173
100000000; INT8; 1; 3,454807
100000000; INT8; 2; 3,711006
100000000; INT8; 3; 3,551290
100000000; INT8; 4; 3,980491
100000000; INT8; 5; 3,755917
100000000; INT8; 6; 3,709059
100000000; INT8; 7; 3,753692
100000000; INT8; 8; 3,553576
100000000; INT8; 9; 3,615584
100000000; INT16; 0; 7,635003
100000000; INT16; 1; 7,607593
100000000; INT16; 2; 7,553727
100000000; INT16; 3; 7,603505
100000000; INT16; 4; 7,605755
100000000; INT16; 5; 7,628296
100000000; INT16; 6; 7,446481
100000000; INT16; 7; 7,660362
100000000; INT16; 8; 7,538062
100000000; INT16; 9; 7,652515
100000000; INT32; 0; 13,419156
100000000; INT32; 1; 13,436120
100000000; INT32; 2; 13,395517
100000000; INT32; 3; 13,448605
100000000; INT32; 4; 13,559926
100000000; INT32; 5; 13,273724
100000000; INT32; 6; 13,577369
100000000; INT32; 7; 13,188431
100000000; INT32; 8; 13,265430
100000000; INT32; 9; 13,230562
100000000; INT64; 0; 13,476230
100000000; INT64; 1; 13,345091
100000000; INT64; 2; 13,611118
100000000; INT64; 3; 13,392869
100000000; INT64; 4; 13,320509
100000000; INT64; 5; 13,427227
100000000; INT64; 6; 13,295410
100000000; INT64; 7; 13,815113
100000000; INT64; 8; 14,469330
100000000; INT64; 9; 13,416242
