N; Data type; Epoch; Timing
100000; INT8; 9; 0,000400
100000; INT16; 0; 0,000397
100000; INT16; 1; 0,000400
100000; INT16; 2; 0,000399
100000; INT16; 3; 0,000399
100000; INT16; 4; 0,000399
100000; INT16; 5; 0,000411
100000; INT16; 6; 0,000398
100000; INT16; 7; 0,000398
100000; INT16; 8; 0,000434
100000; INT16; 9; 0,000403
100000; INT32; 0; 0,000403
100000; INT32; 1; 0,000568
100000; INT32; 2; 0,000411
100000; INT32; 3; 0,000410
100000; INT32; 4; 0,000399
100000; INT32; 5; 0,000404
100000; INT32; 6; 0,000399
100000; INT32; 7; 0,000406
100000; INT32; 8; 0,000426
100000; INT32; 9; 0,000481
100000; INT64; 0; 0,000481
100000; INT64; 1; 0,000688
100000; INT64; 2; 0,000463
100000; INT64; 3; 0,000605
100000; INT64; 4; 0,000411
100000; INT64; 5; 0,000656
100000; INT64; 6; 0,000482
100000; INT64; 7; 0,000641
100000; INT64; 8; 0,000455
100000; INT64; 9; 0,000594
1000000; INT64; 0; 0,004519
1000000; INT64; 1; 0,004173
1000000; INT64; 2; 0,004307
1000000; INT64; 3; 0,004157
1000000; INT64; 4; 0,004207
1000000; INT64; 5; 0,004173
1000000; INT64; 6; 0,004151
1000000; INT64; 7; 0,004336
1000000; INT64; 8; 0,004263
1000000; INT64; 9; 0,004409
1000000; INT8; 0; 0,004710
1000000; INT8; 1; 0,004392
1000000; INT8; 2; 0,004300
1000000; INT8; 3; 0,004026
1000000; INT8; 4; 0,004139
1000000; INT8; 5; 0,004269
1000000; INT8; 6; 0,004136
1000000; INT8; 7; 0,004202
1000000; INT8; 8; 0,004325
1000000; INT8; 9; 0,003966
1000000; INT16; 0; 0,004207
1000000; INT16; 1; 0,004270
1000000; INT16; 2; 0,004321
1000000; INT16; 3; 0,004210
1000000; INT16; 4; 0,004174
1000000; INT16; 5; 0,004182
1000000; INT16; 6; 0,004123
1000000; INT16; 7; 0,004196
1000000; INT16; 8; 0,004337
1000000; INT16; 9; 0,004197
1000000; INT32; 0; 0,004445
1000000; INT32; 1; 0,004193
1000000; INT32; 2; 0,004423
1000000; INT32; 3; 0,004249
1000000; INT32; 4; 0,004505
1000000; INT32; 5; 0,004247
1000000; INT32; 6; 0,004236
1000000; INT32; 7; 0,004266
1000000; INT32; 8; 0,004319
1000000; INT32; 9; 0,004057
