N; Data type; Epoch; Timing
1000000000; INT16; 5; 75,948950
1000000000; INT16; 6; 74,905158
1000000000; INT16; 7; 75,053097
1000000000; INT16; 8; 75,721728
1000000000; INT16; 9; 74,337075
1000000000; INT32; 0; 149,079659
1000000000; INT32; 1; 150,046094
1000000000; INT32; 2; 149,256063
1000000000; INT32; 3; 149,278784
1000000000; INT32; 4; 149,541749
1000000000; INT32; 5; 150,165281
1000000000; INT32; 6; 151,696712
1000000000; INT32; 7; 151,978260
1000000000; INT32; 8; 150,716557
1000000000; INT32; 9; 151,714959
1000000000; INT64; 0; 155,481961
1000000000; INT64; 1; 164,994338
1000000000; INT64; 2; 166,082063
1000000000; INT64; 3; 156,718288
1000000000; INT64; 4; 156,150480
1000000000; INT64; 5; 153,378651
1000000000; INT64; 6; 154,864125
1000000000; INT64; 7; 154,004267
1000000000; INT64; 8; 151,385676
1000000000; INT64; 9; 151,203137
1000000000; INT8; 0; 35,481691
1000000000; INT8; 1; 35,392299
1000000000; INT8; 2; 35,069973
1000000000; INT8; 3; 35,523161
1000000000; INT8; 4; 35,554167
1000000000; INT8; 5; 36,031442
1000000000; INT8; 6; 35,944228
1000000000; INT8; 7; 35,533691
1000000000; INT8; 8; 35,882644
1000000000; INT8; 9; 36,104730
1000; INT8; 0; 0,000136
1000; INT8; 1; 0,000121
1000; INT8; 2; 0,000149
1000; INT8; 3; 0,000120
1000; INT8; 4; 0,000121
1000; INT8; 5; 0,000123
1000; INT8; 6; 0,000120
1000; INT8; 7; 0,000121
1000; INT8; 8; 0,000119
1000; INT8; 9; 0,000120
1000; INT16; 0; 0,000146
1000; INT16; 1; 0,000144
1000; INT16; 2; 0,000144
1000; INT16; 3; 0,000143
1000; INT16; 4; 0,000146
1000; INT16; 5; 0,000143
1000; INT16; 6; 0,000142
1000; INT16; 7; 0,000122
1000; INT16; 8; 0,000121
1000; INT16; 9; 0,000118
1000; INT32; 0; 0,000127
1000; INT32; 1; 0,000127
1000; INT32; 2; 0,000126
1000; INT32; 3; 0,000122
1000; INT32; 4; 0,000122
1000; INT32; 5; 0,000121
1000; INT32; 6; 0,000120
1000; INT32; 7; 0,000121
1000; INT32; 8; 0,000121
1000; INT32; 9; 0,000119
1000; INT64; 0; 0,000125
1000; INT64; 1; 0,000127
1000; INT64; 2; 0,000122
1000; INT64; 3; 0,000122
1000; INT64; 4; 0,000122
1000; INT64; 5; 0,000122
1000; INT64; 6; 0,000122
1000; INT64; 7; 0,000120
1000; INT64; 8; 0,000128
1000; INT64; 9; 0,000122
10000; INT8; 0; 0,000764
10000; INT8; 1; 0,000772
10000; INT8; 2; 0,000785
10000; INT8; 3; 0,000786
10000; INT8; 4; 0,000783
10000; INT8; 5; 0,000756
10000; INT8; 6; 0,000673
10000; INT8; 7; 0,000663
10000; INT8; 8; 0,000681
10000; INT8; 9; 0,000668
10000; INT16; 0; 0,001173
10000; INT16; 1; 0,001149
10000; INT16; 2; 0,001318
10000; INT16; 3; 0,001071
10000; INT16; 4; 0,001054
10000; INT16; 5; 0,001018
10000; INT16; 6; 0,000969
10000; INT16; 7; 0,001008
10000; INT16; 8; 0,000976
10000; INT16; 9; 0,000963
10000; INT32; 0; 0,000913
10000; INT32; 1; 0,000922
10000; INT32; 2; 0,000917
10000; INT32; 3; 0,000851
10000; INT32; 4; 0,000844
10000; INT32; 5; 0,000842
10000; INT32; 6; 0,000848
10000; INT32; 7; 0,000803
10000; INT32; 8; 0,000811
10000; INT32; 9; 0,000807
10000; INT64; 0; 0,000789
10000; INT64; 1; 0,000781
10000; INT64; 2; 0,000761
10000; INT64; 3; 0,000747
10000; INT64; 4; 0,000746
10000; INT64; 5; 0,000748
10000; INT64; 6; 0,000743
10000; INT64; 7; 0,000726
10000; INT64; 8; 0,000707
10000; INT64; 9; 0,000710
